"GEO_ID","NAME","B19301_001E","B19301_001EA","B19301_001M","B19301_001MA",
"0500000US13009","Baldwin County, Georgia","20305","null","1379","null",
"0500000US13011","Banks County, Georgia","20810","null","1011","null",
"0500000US13013","Barrow County, Georgia","23638","null","634","null",
"0500000US13015","Bartow County, Georgia","25712","null","1044","null",
"0500000US13017","Ben Hill County, Georgia","17563","null","1008","null",
"0500000US13019","Berrien County, Georgia","18611","null","1056","null",
"0500000US13021","Bibb County, Georgia","24409","null","758","null",
"0500000US13023","Bleckley County, Georgia","18519","null","1416","null",
"0500000US13025","Brantley County, Georgia","18904","null","1321","null",
"0500000US13027","Brooks County, Georgia","23421","null","3130","null",
"0500000US13029","Bryan County, Georgia","30892","null","1951","null",
"0500000US13031","Bulloch County, Georgia","21207","null","805","null",
"0500000US13033","Burke County, Georgia","21334","null","1218","null",
"0500000US13035","Butts County, Georgia","22360","null","2479","null",
"0500000US13037","Calhoun County, Georgia","13927","null","2091","null",
"0500000US13039","Camden County, Georgia","28509","null","2485","null",
"0500000US13043","Candler County, Georgia","18718","null","2107","null",
"0500000US13045","Carroll County, Georgia","24155","null","962","null",
"0500000US13047","Catoosa County, Georgia","26915","null","978","null",
"0500000US13049","Charlton County, Georgia","19341","null","1566","null",
"0500000US13051","Chatham County, Georgia","30664","null","715","null",
"0500000US13053","Chattahoochee County, Georgia","23651","null","3364","null",
"0500000US13055","Chattooga County, Georgia","18209","null","1109","null",
"0500000US13057","Cherokee County, Georgia","35199","null","753","null",
"0500000US13059","Clarke County, Georgia","22589","null","732","null",
"0500000US13061","Clay County, Georgia","16199","null","2119","null",
"0500000US13063","Clayton County, Georgia","20419","null","431","null",
"0500000US13065","Clinch County, Georgia","16538","null","1890","null",
"0500000US13067","Cobb County, Georgia","38268","null","415","null",
"0500000US13069","Coffee County, Georgia","19709","null","1204","null",
"0500000US13071","Colquitt County, Georgia","19173","null","1194","null",
"0500000US13073","Columbia County, Georgia","32509","null","943","null",
"0500000US13075","Cook County, Georgia","19778","null","1352","null",
"0500000US13077","Coweta County, Georgia","32542","null","1031","null",
"0500000US13079","Crawford County, Georgia","21102","null","1541","null",
"0500000US13081","Crisp County, Georgia","21581","null","2676","null",
"0500000US13083","Dade County, Georgia","24028","null","1938","null",
"0500000US13085","Dawson County, Georgia","32646","null","2421","null",
"0500000US13087","Decatur County, Georgia","20397","null","1335","null",
"0500000US13089","DeKalb County, Georgia","34100","null","422","null",
"0500000US13091","Dodge County, Georgia","18921","null","1364","null",
"0500000US13093","Dooly County, Georgia","20259","null","2644","null",
"0500000US13095","Dougherty County, Georgia","21180","null","733","null",
"0500000US13097","Douglas County, Georgia","26621","null","827","null",
"0500000US13099","Early County, Georgia","17598","null","1114","null",
"0500000US13101","Echols County, Georgia","22883","null","5487","null",
"0500000US13103","Effingham County, Georgia","29795","null","2996","null",
"0500000US13105","Elbert County, Georgia","22593","null","2097","null",
"0500000US13107","Emanuel County, Georgia","17981","null","1064","null",
"0500000US13109","Evans County, Georgia","20537","null","1870","null",
"0500000US13111","Fannin County, Georgia","26665","null","1761","null",
"0500000US13113","Fayette County, Georgia","42126","null","1275","null",
"0500000US13115","Floyd County, Georgia","25058","null","843","null",
"0500000US13117","Forsyth County, Georgia","41585","null","674","null",
"0500000US13119","Franklin County, Georgia","21686","null","1834","null",
"0500000US13121","Fulton County, Georgia","43707","null","566","null",
"0500000US13123","Gilmer County, Georgia","25812","null","1831","null",
"0500000US13125","Glascock County, Georgia","21076","null","2325","null",
"0500000US13127","Glynn County, Georgia","31493","null","1868","null",
"0500000US13129","Gordon County, Georgia","22448","null","1107","null",
"0500000US13131","Grady County, Georgia","22442","null","1610","null",
"0500000US13133","Greene County, Georgia","35844","null","2746","null",
"0500000US13135","Gwinnett County, Georgia","29474","null","333","null",
"0500000US13137","Habersham County, Georgia","22018","null","826","null",
"0500000US13139","Hall County, Georgia","27625","null","673","null",
