,YEAR,C_S,WA,BA,IA,AA,NA,TOM,NH,H
1535,2017,"Santa Cruz County,Arizona",44644,420,623,397,62,432,7690,38888
1536,2018,"Santa Cruz County,Arizona",44468,434,646,371,67,460,7726,38720
1537,2019,"Santa Cruz County,Arizona",44664,463,667,384,64,486,7906,38822
1549,2017,"Yavapai County,Arizona",213564,2016,4833,2611,351,5023,195167,33231
1550,2018,"Yavapai County,Arizona",217139,2098,4905,2754,370,5201,198445,34022
1551,2019,"Yavapai County,Arizona",220186,2116,5050,2946,387,5377,201231,34831
1563,2017,"Yuma County,Arizona",190980,5622,4814,3247,569,4012,75887,133357
1564,2018,"Yuma County,Arizona",192900,5684,4867,3252,529,4013,75772,135473
1565,2019,"Yuma County,Arizona",195405,5687,4988,3283,551,4268,76125,138057
1577,2017,"Arkansas County,Arkansas",12918,4482,61,142,4,318,17371,554
1578,2018,"Arkansas County,Arkansas",12782,4443,64,148,7,335,17174,605
1579,2019,"Arkansas County,Arkansas",12529,4434,61,149,6,336,16898,617
1591,2017,"Ashley County,Arkansas",14750,5072,144,55,19,293,19217,1116
1592,2018,"Ashley County,Arkansas",14563,4980,136,53,20,289,18934,1107
1593,2019,"Ashley County,Arkansas",14351,4902,147,56,19,267,18610,1132
1605,2017,"Baxter County,Arkansas",40030,153,296,219,23,598,40375,944
1606,2018,"Baxter County,Arkansas",40277,167,328,219,28,646,40637,1028
1607,2019,"Baxter County,Arkansas",40524,196,337,225,32,664,40906,1072
1619,2017,"Benton County,Arkansas",236619,5360,5126,11273,1803,6701,222916,43966
1620,2018,"Benton County,Arkansas",241390,5523,5182,11340,2064,7061,226936,45624
1621,2019,"Benton County,Arkansas",247161,5794,5241,12012,2138,7489,232251,47584
1633,2017,"Boone County,Arkansas",36058,158,330,233,30,722,36611,920
1634,2018,"Boone County,Arkansas",36060,156,336,235,43,715,36570,975
1635,2019,"Boone County,Arkansas",36124,171,334,236,41,710,36625,991
1647,2017,"Bradley County,Arkansas",7422,3009,162,49,5,166,9176,1637
1648,2018,"Bradley County,Arkansas",7425,3013,154,49,5,172,9158,1660
1649,2019,"Bradley County,Arkansas",7408,2972,164,51,5,192,9100,1692
