,YEAR,C_S,WA,BA,IA,AA,NA,TOM,NH,H
59375,2021,"Harlan County,Kentucky",25114,531,61,113,24,321,25876,288
59413,2020,"Harrison County,Kentucky",17853,428,56,66,14,288,18224,481
59432,2021,"Harrison County,Kentucky",18077,426,58,68,14,307,18462,488
59470,2020,"Hart County,Kentucky",17942,848,45,94,9,333,18860,411
59489,2021,"Hart County,Kentucky",18146,836,52,99,9,318,19042,418
59527,2020,"Henderson County,Kentucky",39410,3741,168,262,53,1011,43364,1281
59546,2021,"Henderson County,Kentucky",38998,3768,184,271,48,1060,42950,1379
59584,2020,"Henry County,Kentucky",14727,447,77,67,15,333,15105,561
59603,2021,"Henry County,Kentucky",14686,468,81,62,15,345,15073,584
59641,2020,"Hickman County,Kentucky",3978,415,12,21,1,94,4412,109
59660,2021,"Hickman County,Kentucky",3889,407,12,23,1,92,4313,111
59698,2020,"Hopkins County,Kentucky",40752,3059,122,286,35,1113,44375,992
59717,2021,"Hopkins County,Kentucky",40470,3099,122,270,36,1141,44112,1026
59755,2020,"Jackson County,Kentucky",12744,52,32,19,3,101,12828,123
59774,2021,"Jackson County,Kentucky",12761,55,36,22,2,108,12861,123
59812,2020,"Jefferson County,Kentucky",557833,176529,1419,24862,433,21047,733283,48840
59831,2021,"Jefferson County,Kentucky",551799,177526,1355,25315,389,21490,726920,50954
59869,2020,"Jessamine County,Kentucky",48454,2374,156,736,44,1208,50937,2035
59888,2021,"Jessamine County,Kentucky",48944,2455,174,773,50,1230,51423,2203
59926,2020,"Johnson County,Kentucky",22138,95,46,119,6,230,22424,210
59945,2021,"Johnson County,Kentucky",22042,102,47,118,8,239,22341,215
59983,2020,"Kenton County,Kentucky",153885,8336,385,2288,283,4006,163100,6083
60002,2021,"Kenton County,Kentucky",153791,8603,383,2355,274,4089,163147,6348
60040,2020,"Knott County,Kentucky",13816,147,25,25,4,143,14016,144
60059,2021,"Knott County,Kentucky",13707,155,28,28,4,131,13907,146
60097,2020,"Knox County,Kentucky",29080,403,95,124,11,422,29681,454
60116,2021,"Knox County,Kentucky",28886,409,89,127,11,387,29438,471
60154,2020,"Larue County,Kentucky",14022,446,50,47,21,284,14374,496
60173,2021,"Larue County,Kentucky",14163,443,55,47,19,301,14520,508
60211,2020,"Laurel County,Kentucky",60726,544,225,383,16,768,61665,997
60230,2021,"Laurel County,Kentucky",60547,561,225,401,15,812,61557,1004
60268,2020,"Lawrence County,Kentucky",15892,66,24,41,8,257,16048,240
60287,2021,"Lawrence County,Kentucky",15879,68,23,44,8,268,16063,227
60325,2020,"Lee County,Kentucky",7027,210,33,21,0,69,7255,105
60344,2021,"Lee County,Kentucky",7087,231,33,22,0,78,7333,118
60382,2020,"Leslie County,Kentucky",10258,41,19,28,6,103,10363,92
60401,2021,"Leslie County,Kentucky",10072,43,20,31,6,106,10189,89
60439,2020,"Letcher County,Kentucky",21027,129,47,59,0,166,21226,202
60458,2021,"Letcher County,Kentucky",20814,146,47,68,0,178,21043,210
60496,2020,"Lewis County,Kentucky",12822,63,44,8,0,124,12950,111
60515,2021,"Lewis County,Kentucky",12728,73,43,8,1,134,12865,122
60553,2020,"Lincoln County,Kentucky",23177,544,56,74,2,385,23803,435
60572,2021,"Lincoln County,Kentucky",23151,557,62,76,2,395,23779,464
60610,2020,"Livingston County,Kentucky",8549,54,48,37,10,147,8635,210
60629,2021,"Livingston County,Kentucky",8648,58,51,38,10,154,8730,229
60667,2020,"Logan County,Kentucky",24950,1715,124,104,14,590,26674,823
60686,2021,"Logan County,Kentucky",25267,1684,130,105,14,571,26851,920
60724,2020,"Lyon County,Kentucky",7974,487,24,45,1,133,8443,221
60743,2021,"Lyon County,Kentucky",8084,515,25,48,1,130,8588,215
60781,2020,"McCracken County,Kentucky",57730,7492,255,631,66,1662,65920,1916
60800,2021,"McCracken County,Kentucky",57254,7515,255,642,72,1716,65489,1965
60838,2020,"McCreary County,Kentucky",15393,975,130,93,10,250,16393,458
60857,2021,"McCreary County,Kentucky",15401,1001,127,96,10,257,16432,460
60895,2020,"McLean County,Kentucky",8841,91,33,18,4,127,8943,171
60914,2021,"McLean County,Kentucky",8818,89,36,19,3,135,8911,189
60952,2020,"Madison County,Kentucky",85255,4178,327,1053,57,2050,90423,2497
60971,2021,"Madison County,Kentucky",86718,4270,344,1091,58,2185,91994,2672
61009,2020,"Magoffin County,Kentucky",11382,45,43,24,0,100,11446,148
61028,2021,"Magoffin County,Kentucky",11285,45,42,18,0,107,11347,150
61066,2020,"Marion County,Kentucky",17645,1350,46,160,7,372,19037,543
61085,2021,"Marion County,Kentucky",17772,1347,50,159,6,391,19153,572
61123,2020,"Marshall County,Kentucky",30963,147,86,147,8,314,31098,567
61142,2021,"Marshall County,Kentucky",31010,172,87,149,8,322,31158,590
61180,2020,"Martin County,Kentucky",10283,768,50,25,2,100,10835,393
61199,2021,"Martin County,Kentucky",10167,781,51,28,2,111,10749,391
61237,2020,"Mason County,Kentucky",15347,1037,72,148,5,476,16715,370
61256,2021,"Mason County,Kentucky",15213,1028,72,157,4,457,16546,385
61294,2020,"Meade County,Kentucky",27688,1165,182,228,65,653,28762,1219
61313,2021,"Meade County,Kentucky",27667,1241,190,262,73,698,28866,1265
61351,2020,"Menifee County,Kentucky",5807,196,14,13,7,78,6032,83
61370,2021,"Menifee County,Kentucky",5882,191,14,14,7,86,6094,100
61408,2020,"Mercer County,Kentucky",21125,812,70,155,24,430,21902,714
61427,2021,"Mercer County,Kentucky",21290,843,75,163,26,453,22105,745
61465,2020,"Metcalfe County,Kentucky",9900,182,29,30,1,129,10053,218
61484,2021,"Metcalfe County,Kentucky",9951,192,28,33,1,144,10127,222
61522,2020,"Monroe County,Kentucky",10864,243,19,30,5,140,10940,361
61541,2021,"Monroe County,Kentucky",10794,242,16,31,5,145,10868,365
61579,2020,"Montgomery County,Kentucky",26758,740,90,123,16,364,27248,843
61598,2021,"Montgomery County,Kentucky",26861,733,95,124,17,389,27372,847
61636,2020,"Morgan County,Kentucky",12778,636,35,131,4,135,13561,158
61655,2021,"Morgan County,Kentucky",12844,664,37,130,4,141,13665,155
61693,2020,"Muhlenberg County,Kentucky",28824,1483,77,100,6,385,30332,543
61712,2021,"Muhlenberg County,Kentucky",28625,1490,81,104,6,388,30142,552
61750,2020,"Nelson County,Kentucky",43147,2356,111,236,29,877,45676,1080
61769,2021,"Nelson County,Kentucky",43360,2399,113,262,28,936,45959,1139
61807,2020,"Nicholas County,Kentucky",7380,62,12,18,0,64,7368,168
61826,2021,"Nicholas County,Kentucky",7546,67,12,21,0,66,7526,186
61864,2020,"Ohio County,Kentucky",22978,338,89,79,10,232,22923,803
61883,2021,"Ohio County,Kentucky",22909,341,89,80,10,259,22887,801
61921,2020,"Oldham County,Kentucky",61900,2952,294,1179,55,1262,64898,2744
61940,2021,"Oldham County,Kentucky",62733,3055,304,1220,58,1315,65855,2830
61978,2020,"Owen County,Kentucky",10977,134,37,22,1,123,11005,289
61997,2021,"Owen County,Kentucky",10974,135,37,26,1,121,11003,291
62035,2020,"Owsley County,Kentucky",3928,24,19,5,1,41,3954,64
62054,2021,"Owsley County,Kentucky",3864,27,14,4,1,43,3880,73
62092,2020,"Pendleton County,Kentucky",14183,151,61,40,7,198,14425,215
62111,2021,"Pendleton County,Kentucky",14119,161,66,45,7,209,14387,220
62149,2020,"Perry County,Kentucky",27198,491,55,287,13,334,28048,330
62168,2021,"Perry County,Kentucky",26777,484,58,267,13,330,27608,321
62206,2020,"Pike County,Kentucky",57104,439,78,321,24,442,57827,581
62225,2021,"Pike County,Kentucky",56037,438,83,335,24,474,56790,601
62263,2020,"Powell County,Kentucky",12743,123,31,43,5,140,12881,204
62282,2021,"Powell County,Kentucky",12751,149,35,44,5,149,12914,219
62320,2020,"Pulaski County,Kentucky",62558,828,228,547,28,827,63283,1733
62339,2021,"Pulaski County,Kentucky",62848,850,246,562,30,887,63629,1794
62377,2020,"Robertson County,Kentucky",2129,14,9,2,0,30,2146,38
62396,2021,"Robertson County,Kentucky",2186,22,11,2,0,36,2215,42
62434,2020,"Rockcastle County,Kentucky",15682,78,64,23,4,202,15888,165
62453,2021,"Rockcastle County,Kentucky",15725,85,68,25,4,208,15940,175
62491,2020,"Rowan County,Kentucky",23688,447,57,204,4,332,24239,493
62510,2021,"Rowan County,Kentucky",23776,456,62,203,4,360,24360,501
62548,2020,"Russell County,Kentucky",17404,140,87,109,2,233,17286,689
62567,2021,"Russell County,Kentucky",17555,157,87,112,5,240,17455,701
62605,2020,"Scott County,Kentucky",51981,3244,214,764,23,1251,54906,2571
62624,2021,"Scott County,Kentucky",52599,3272,249,769,24,1339,55549,2703
62662,2020,"Shelby County,Kentucky",42603,3454,269,525,116,1212,43518,4661
62681,2021,"Shelby County,Kentucky",42780,3476,269,524,129,1283,43776,4685
62719,2020,"Simpson County,Kentucky",17147,1840,72,162,17,382,19083,537
62738,2021,"Simpson County,Kentucky",17235,1804,70,171,20,418,19145,573
62776,2020,"Spencer County,Kentucky",18813,359,54,71,15,252,19056,508
62795,2021,"Spencer County,Kentucky",19102,374,61,82,15,282,19388,528
62833,2020,"Taylor County,Kentucky",23869,1350,45,204,17,535,25355,665
62852,2021,"Taylor County,Kentucky",24003,1375,57,212,19,569,25540,695
62890,2020,"Todd County,Kentucky",11001,973,32,36,18,220,11678,602
62909,2021,"Todd County,Kentucky",10974,975,37,35,18,246,11673,612
62947,2020,"Trigg County,Kentucky",12615,993,49,49,16,346,13744,324
62966,2021,"Trigg County,Kentucky",12687,1012,51,58,16,368,13822,370
63004,2020,"Trimble County,Kentucky",8140,68,59,53,12,129,8164,297
63023,2021,"Trimble County,Kentucky",8186,83,61,52,10,138,8227,303
63061,2020,"Union County,Kentucky",11447,1801,42,95,12,249,13354,292
63080,2021,"Union County,Kentucky",11364,1784,46,92,12,246,13253,291
63118,2020,"Warren County,Kentucky",110537,13068,391,6793,765,3379,127307,7626
63137,2021,"Warren County,Kentucky",112009,13332,430,7112,831,3498,129336,7876
63175,2020,"Washington County,Kentucky",11036,652,22,83,7,224,11529,495
63194,2021,"Washington County,Kentucky",11082,658,24,76,8,224,11559,513
63232,2020,"Wayne County,Kentucky",18670,388,80,90,18,282,18793,735
63251,2021,"Wayne County,Kentucky",18677,393,81,89,17,283,18817,723
63289,2020,"Webster County,Kentucky",12083,515,47,74,46,224,12225,764
63308,2021,"Webster County,Kentucky",11914,497,50,78,46,228,12047,766
63346,2020,"Whitley County,Kentucky",35610,347,109,157,16,448,36125,562
63365,2021,"Whitley County,Kentucky",35779,373,110,166,20,491,36332,607
63403,2020,"Wolfe County,Kentucky",6415,27,30,13,0,67,6480,72
63422,2021,"Wolfe County,Kentucky",6370,28,30,12,0,67,6434,73
63460,2020,"Woodford County,Kentucky",24842,1302,70,191,50,437,25084,1808
63479,2021,"Woodford County,Kentucky",24986,1315,77,194,52,451,25289,1786
63517,2020,"Acadia Parish,Louisiana",45714,10300,259,207,19,956,55701,1754
63536,2021,"Acadia Parish,Louisiana",45632,10151,267,213,22,1003,55366,1922
63574,2020,"Allen Parish,Louisiana",16322,5126,585,153,10,501,22083,614
63593,2021,"Allen Parish,Louisiana",16192,5247,584,143,10,511,22031,656
63631,2020,"Ascension Parish,Louisiana",91752,30744,628,1801,108,1951,119125,7859
63650,2021,"Ascension Parish,Louisiana",92215,31490,640,1862,107,2055,120187,8182
63688,2020,"Assumption Parish,Louisiana",14209,6194,191,115,17,242,20250,718
63707,2021,"Assumption Parish,Louisiana",14034,6113,184,117,17,224,19993,696
63745,2020,"Avoyelles Parish,Louisiana",26177,11886,485,213,39,816,38786,830
63764,2021,"Avoyelles Parish,Louisiana",25932,11758,495,214,41,796,38330,906
63802,2020,"Beauregard Parish,Louisiana",30490,4371,453,247,47,965,35183,1390
63821,2021,"Beauregard Parish,Louisiana",30525,4332,460,245,49,973,35101,1483
63859,2020,"Bienville Parish,Louisiana",7176,5381,60,52,6,224,12628,271
63878,2021,"Bienville Parish,Louisiana",7161,5260,67,51,4,233,12497,279
63916,2020,"Bossier Parish,Louisiana",91561,30305,858,2434,172,3285,119678,8937
63935,2021,"Bossier Parish,Louisiana",90992,31170,901,2441,191,3449,120055,9089
63973,2020,"Caddo Parish,Louisiana",109410,119078,1241,3287,168,3872,229940,7116
63992,2021,"Caddo Parish,Louisiana",107191,117312,1229,3232,165,3963,225793,7299
64030,2020,"Calcasieu Parish,Louisiana",150993,56360,1354,3131,137,4441,207058,9358
64049,2021,"Calcasieu Parish,Louisiana",145094,51520,1271,3034,143,4220,196583,8699
64087,2020,"Caldwell Parish,Louisiana",7845,1550,41,35,2,144,9279,338
64106,2021,"Caldwell Parish,Louisiana",7825,1525,42,36,2,141,9215,356
64144,2020,"Cameron Parish,Louisiana",5222,200,46,29,3,119,5389,230
64163,2021,"Cameron Parish,Louisiana",4699,182,44,30,3,122,4858,222
64201,2020,"Catahoula Parish,Louisiana",5862,2801,57,7,0,132,8698,161
64220,2021,"Catahoula Parish,Louisiana",5849,2771,63,7,0,115,8639,166
64258,2020,"Claiborne Parish,Louisiana",6343,7364,89,79,4,230,13890,219
64277,2021,"Claiborne Parish,Louisiana",6302,7324,90,85,5,232,13797,241
64315,2020,"Concordia Parish,Louisiana",10795,7423,90,90,4,187,18240,349
64334,2021,"Concordia Parish,Louisiana",10598,7382,87,98,4,207,18018,358
64372,2020,"De Soto Parish,Louisiana",16561,9390,327,122,15,439,25983,871
64391,2021,"De Soto Parish,Louisiana",16672,9271,345,128,15,488,26037,882
64429,2020,"East Baton Rouge Parish,Louisiana",215828,216045,1238,15574,218,6981,435379,20505
64448,2021,"East Baton Rouge Parish,Louisiana",214080,215041,1241,15623,218,7098,432526,20775
64486,2020,"East Carroll Parish,Louisiana",2180,5058,24,29,0,92,7174,209
64505,2021,"East Carroll Parish,Louisiana",2138,4937,27,30,0,88,7013,207
64543,2020,"East Feliciana Parish,Louisiana",10773,8242,94,55,4,283,19105,346
64562,2021,"East Feliciana Parish,Louisiana",10724,8158,95,63,3,295,18974,364
64600,2020,"Evangeline Parish,Louisiana",22381,9133,156,172,7,458,30996,1311
64619,2021,"Evangeline Parish,Louisiana",22300,9101,157,173,7,477,30835,1380
64657,2020,"Franklin Parish,Louisiana",13005,6329,69,81,7,230,19390,331
64676,2021,"Franklin Parish,Louisiana",12983,6307,64,85,7,222,19316,352
64714,2020,"Grant Parish,Louisiana",17853,3457,287,134,12,386,20973,1156
64733,2021,"Grant Parish,Louisiana",17879,3506,298,135,11,407,21017,1219
64771,2020,"Iberia Parish,Louisiana",42919,23050,426,1900,45,1385,66653,3072
64790,2021,"Iberia Parish,Louisiana",42439,22789,447,1866,51,1383,65926,3049
64828,2020,"Iberville Parish,Louisiana",14925,14543,114,137,8,368,29174,921
64847,2021,"Iberville Parish,Louisiana",14869,14327,117,127,7,377,28871,953
64885,2020,"Jackson Parish,Louisiana",10374,4190,67,68,6,284,14707,282
64904,2021,"Jackson Parish,Louisiana",10284,4178,63,63,6,282,14591,285
64942,2020,"Jefferson Parish,Louisiana",282894,126095,2878,19607,266,8105,373570,66275
64961,2021,"Jefferson Parish,Louisiana",277590,125476,2864,19380,252,8126,367481,66207
64999,2020,"Jefferson Davis Parish,Louisiana",25694,5284,261,171,8,748,31318,848
65018,2021,"Jefferson Davis Parish,Louisiana",25733,5372,272,185,10,773,31531,814
65056,2020,"Lafayette Parish,Louisiana",166432,65555,1007,4804,116,4090,230703,11301
65075,2021,"Lafayette Parish,Louisiana",166939,67001,1041,4859,109,4256,232755,11450
65113,2020,"Lafourche Parish,Louisiana",78253,13264,3033,882,63,2000,93107,4388
65132,2021,"Lafourche Parish,Louisiana",78052,13437,3028,866,75,2046,93035,4469
65170,2020,"LaSalle Parish,Louisiana",12633,1754,199,48,5,173,14362,450
65189,2021,"LaSalle Parish,Louisiana",12589,1819,200,50,5,171,14368,466
65227,2020,"Lincoln Parish,Louisiana",27116,19557,217,688,42,639,46716,1543
65246,2021,"Lincoln Parish,Louisiana",27002,19550,229,680,40,651,46594,1558
65284,2020,"Livingston Parish,Louisiana",128009,10799,694,1090,73,2061,136461,6265
65303,2021,"Livingston Parish,Louisiana",129060,12605,735,1181,73,2176,139037,6793
65341,2020,"Madison Parish,Louisiana",3450,6271,41,33,1,131,9676,251
65360,2021,"Madison Parish,Louisiana",3419,6165,41,32,1,141,9545,254
65398,2020,"Morehouse Parish,Louisiana",12695,12206,67,118,19,325,25028,402
65417,2021,"Morehouse Parish,Louisiana",12464,12002,68,127,18,346,24637,388
65455,2020,"Natchitoches Parish,Louisiana",20203,15615,397,242,22,870,36430,919
65474,2021,"Natchitoches Parish,Louisiana",20115,15355,409,248,21,878,36072,954
65512,2020,"Orleans Parish,Louisiana",134695,229293,1367,11285,212,6430,361871,21411
65531,2021,"Orleans Parish,Louisiana",133297,224366,1367,11170,199,6572,355484,21487
65569,2020,"Ouachita Parish,Louisiana",94748,60905,493,1697,83,2077,156258,3745
65588,2021,"Ouachita Parish,Louisiana",93975,60403,504,1678,97,2111,154916,3852
65626,2020,"Plaquemines Parish,Louisiana",16278,5009,402,1045,37,695,21536,1930
65645,2021,"Plaquemines Parish,Louisiana",16200,4914,406,1068,48,667,21350,1953
65683,2020,"Pointe Coupee Parish,Louisiana",13022,7264,65,82,1,255,20044,645
65702,2021,"Pointe Coupee Parish,Louisiana",12847,7105,65,85,3,251,19695,661
65740,2020,"Rapides Parish,Louisiana",82244,41770,1224,1809,73,2487,125086,4521
65759,2021,"Rapides Parish,Louisiana",81470,41629,1225,1757,74,2499,124043,4611
65797,2020,"Red River Parish,Louisiana",4421,3036,57,18,1,86,7396,223
65816,2021,"Red River Parish,Louisiana",4398,2995,55,20,4,92,7337,227
65854,2020,"Richland Parish,Louisiana",12525,7103,69,71,5,224,19527,470
65873,2021,"Richland Parish,Louisiana",12347,7060,73,80,8,237,19343,462
65911,2020,"Sabine Parish,Louisiana",15349,3623,2117,89,12,928,21213,905
65930,2021,"Sabine Parish,Louisiana",15351,3620,2130,91,12,931,21211,924
65968,2020,"St. Bernard Parish,Louisiana",30388,10792,449,1002,28,1179,39220,4618
65987,2021,"St. Bernard Parish,Louisiana",30229,11277,465,1031,29,1227,39480,4778
66025,2020,"St. Charles Parish,Louisiana",36823,13860,248,612,31,907,49069,3412
66044,2021,"St. Charles Parish,Louisiana",36574,13865,268,615,39,921,48771,3511
66082,2020,"St. Helena Parish,Louisiana",4946,5716,58,23,6,140,10653,236
66101,2021,"St. Helena Parish,Louisiana",5017,5651,57,24,6,157,10659,253
66139,2020,"St. James Parish,Louisiana",10085,9727,59,79,5,172,19757,370
66158,2021,"St. James Parish,Louisiana",9920,9502,52,79,6,183,19379,363
66196,2020,"St. John the Baptist Parish,Louisiana",15951,25004,218,509,71,641,39419,2975
66215,2021,"St. John the Baptist Parish,Louisiana",15764,24862,222,513,71,662,38881,3213
66253,2020,"St. Landry Parish,Louisiana",46064,34392,323,381,18,1095,80267,2006
66272,2021,"St. Landry Parish,Louisiana",45729,34429,325,385,20,1183,79935,2136
66310,2020,"St. Martin Parish,Louisiana",34510,15453,365,516,17,743,50004,1600
66329,2021,"St. Martin Parish,Louisiana",34373,15470,364,529,22,782,49888,1652
66367,2020,"St. Mary Parish,Louisiana",30386,15750,1094,792,40,1078,45601,3539
66386,2021,"St. Mary Parish,Louisiana",29821,15450,1073,759,40,1089,44652,3580
66424,2020,"St. Tammany Parish,Louisiana",219254,34866,1525,3948,126,5214,249040,15893
66443,2021,"St. Tammany Parish,Louisiana",220765,37314,1562,4165,136,5446,252605,16783
66481,2020,"Tangipahoa Parish,Louisiana",88995,40759,606,970,72,2147,127468,6081
66500,2021,"Tangipahoa Parish,Louisiana",89998,41244,651,1010,79,2235,128805,6412
66538,2020,"Tensas Parish,Louisiana",1784,2252,13,10,0,57,4009,107
66557,2021,"Tensas Parish,Louisiana",1786,2172,13,11,0,61,3933,110
66595,2020,"Terrebonne Parish,Louisiana",77063,21021,6798,1226,100,3111,103570,5749
66614,2021,"Terrebonne Parish,Louisiana",76427,21025,6763,1210,93,3190,102712,5996
66652,2020,"Union Parish,Louisiana",15470,5225,146,68,14,201,20045,1079
66671,2021,"Union Parish,Louisiana",15442,5155,153,73,17,251,19971,1120
66709,2020,"Vermilion Parish,Louisiana",46598,8217,244,1252,15,963,55145,2144
66728,2021,"Vermilion Parish,Louisiana",46539,8164,248,1238,18,997,54977,2227
66766,2020,"Vernon Parish,Louisiana",37834,6960,774,963,251,1800,43881,4701
66785,2021,"Vernon Parish,Louisiana",37316,6879,823,932,244,1833,43325,4702
66823,2020,"Washington Parish,Louisiana",30447,13842,208,160,10,703,44180,1190
66842,2021,"Washington Parish,Louisiana",30189,13806,217,165,10,746,43908,1225
66880,2020,"Webster Parish,Louisiana",23251,12642,200,188,12,571,36066,798
66899,2021,"Webster Parish,Louisiana",22637,12593,197,190,12,555,35375,809
66937,2020,"West Baton Rouge Parish,Louisiana",15604,10966,62,197,14,393,26308,928
66956,2021,"West Baton Rouge Parish,Louisiana",15754,11334,74,204,14,412,26845,947
66994,2020,"West Carroll Parish,Louisiana",7859,1561,89,32,3,150,9275,419
67013,2021,"West Carroll Parish,Louisiana",7727,1569,101,32,3,162,9162,432
67051,2020,"West Feliciana Parish,Louisiana",8163,6773,36,126,7,151,15008,248
67070,2021,"West Feliciana Parish,Louisiana",8248,6925,34,129,8,150,15231,263
67108,2020,"Winn Parish,Louisiana",9064,4256,119,33,3,246,13454,267
67127,2021,"Winn Parish,Louisiana",8852,4232,120,37,4,243,13212,276
67165,2020,"Androscoggin County,Maine",101363,5366,500,1084,50,2676,108798,2241
67184,2021,"Androscoggin County,Maine",101280,5407,504,1107,49,2687,108736,2298
67222,2020,"Aroostook County,Maine",63415,778,1318,375,33,1075,65989,1005
67241,2021,"Aroostook County,Maine",63206,809,1326,386,34,1098,65773,1086
67279,2020,"Cumberland County,Maine",278269,10136,1003,7550,113,6241,296445,6867
67298,2021,"Cumberland County,Maine",279534,10318,999,7809,113,6458,298116,7115
67336,2020,"Franklin County,Maine",28448,161,157,161,13,478,28996,422
67355,2021,"Franklin County,Maine",28653,185,167,153,14,515,29220,467
67393,2020,"Hancock County,Maine",53107,573,285,691,17,787,54514,946
67412,2021,"Hancock County,Maine",53685,619,308,732,21,827,55225,967
67450,2020,"Kennebec County,Maine",118390,999,704,1218,48,2395,121567,2187
67469,2021,"Kennebec County,Maine",118950,1040,695,1245,54,2502,122167,2319
67507,2020,"Knox County,Maine",39210,304,192,252,12,639,39962,647
67526,2021,"Knox County,Maine",39594,330,201,273,14,672,40346,738
67564,2020,"Lincoln County,Maine",34012,253,149,300,8,470,34697,495
67583,2021,"Lincoln County,Maine",34588,265,158,304,8,505,35293,535
67621,2020,"Oxford County,Maine",55668,361,293,462,33,1032,56899,950
67640,2021,"Oxford County,Maine",56349,363,311,467,37,1102,57630,999
67678,2020,"Penobscot County,Maine",143905,1553,1955,1823,55,2716,149604,2403
67697,2021,"Penobscot County,Maine",144429,1669,1973,1873,60,2761,150217,2548
67735,2020,"Piscataquis County,Maine",16050,111,114,196,7,290,16318,450
67754,2021,"Piscataquis County,Maine",16412,121,121,202,8,301,16682,483
67792,2020,"Sagadahoc County,Maine",35205,356,169,326,13,619,35954,734
67811,2021,"Sagadahoc County,Maine",35531,396,174,342,11,617,36282,789
67849,2020,"Somerset County,Maine",48639,322,287,346,20,790,49800,604
67868,2021,"Somerset County,Maine",48739,355,295,354,21,828,49892,700
67906,2020,"Waldo County,Maine",38314,225,210,242,13,631,38972,663
67925,2021,"Waldo County,Maine",38519,245,214,263,12,659,39227,685
67963,2020,"Washington County,Maine",28374,193,1668,151,11,665,30168,894
67982,2021,"Washington County,Maine",28384,212,1647,157,12,709,30197,924
68020,2020,"York County,Maine",202179,2375,730,2991,71,3743,207936,4153
68039,2021,"York County,Maine",204158,2581,715,3119,88,3930,210207,4384
68077,2020,"Allegany County,Maryland",59826,5611,157,790,53,1510,66551,1396
68096,2021,"Allegany County,Maryland",59418,5769,168,753,53,1568,66296,1433
68134,2020,"Anne Arundel County,Maryland",429617,109581,2741,25648,742,20440,538142,50627
68153,2021,"Anne Arundel County,Maryland",427014,112470,2808,26436,758,20850,537495,52841
68191,2020,"Baltimore County,Maryland",507489,262131,4081,55050,786,23536,801819,51254
68210,2021,"Baltimore County,Maryland",499744,265497,4139,55061,796,24079,796333,52983
68248,2020,"Calvert County,Maryland",74799,12512,449,1802,122,3173,88681,4176
68267,2021,"Calvert County,Maryland",75309,12891,473,1837,131,3287,89433,4495
68305,2020,"Caroline County,Maryland",26936,4640,284,410,107,913,30627,2663
68324,2021,"Caroline County,Maryland",26971,4649,296,412,110,948,30675,2711
68362,2020,"Carroll County,Maryland",157841,6836,499,3884,115,3715,165899,6991
68381,2021,"Carroll County,Maryland",158107,7165,535,4080,121,3865,166446,7427
68419,2020,"Cecil County,Maryland",91216,7787,429,1511,78,2719,98728,5012
68438,2021,"Cecil County,Maryland",90938,8100,459,1540,86,2782,98825,5080
68476,2020,"Charles County,Maryland",67592,85029,1262,5736,241,6822,155666,11016
68495,2021,"Charles County,Maryland",66742,87772,1279,5859,241,6805,156809,11889
68533,2020,"Dorchester County,Maryland",21681,9422,187,370,21,827,30524,1984
68552,2021,"Dorchester County,Maryland",21644,9484,179,358,18,806,30460,2029
68590,2020,"Frederick County,Maryland",217964,30011,1420,14361,257,8724,243121,29616
68609,2021,"Frederick County,Maryland",220613,32398,1466,15842,289,9227,248139,31696
68647,2020,"Garrett County,Maryland",27968,314,58,132,1,288,28419,342
68666,2021,"Garrett County,Maryland",27881,330,60,139,1,291,28339,363
68704,2020,"Harford County,Maryland",204697,39316,883,8104,244,7878,248335,12787
68723,2021,"Harford County,Maryland",204985,40614,908,8270,250,7950,249634,13343
68761,2020,"Howard County,Maryland",183885,67864,1482,66088,282,13121,307895,24827
68780,2021,"Howard County,Maryland",182554,69486,1493,67498,272,13226,308940,25589
68818,2020,"Kent County,Maryland",15603,2768,82,263,9,417,18228,914
68837,2021,"Kent County,Maryland",15712,2761,88,261,9,439,18318,952
68875,2020,"Montgomery County,Maryland",630886,214478,8200,168714,1109,37856,849457,211786
68894,2021,"Montgomery County,Maryland",623477,215170,8192,168663,1113,38212,843315,211512
68932,2020,"Prince George's County,Maryland",261310,620413,12302,42460,2169,26947,773479,192122
68951,2021,"Prince George's County,Maryland",259428,612224,12525,41961,2200,26968,760875,194431
68989,2020,"Queen Anne's County,Maryland",44856,3082,243,640,57,1105,47757,2226
69008,2021,"Queen Anne's County,Maryland",45505,3183,254,646,60,1150,48439,2359
69046,2020,"St. Mary's County,Maryland",88745,16876,563,3328,146,4295,107611,6342
69065,2021,"St. Mary's County,Maryland",88724,17353,575,3409,145,4262,107937,6531
69103,2020,"Somerset County,Maryland",13392,10065,115,241,25,729,23613,954
69122,2021,"Somerset County,Maryland",13388,10047,118,243,27,761,23578,1006
69160,2020,"Talbot County,Maryland",31162,4756,152,555,87,744,34775,2681
69179,2021,"Talbot County,Maryland",31315,4738,155,552,92,774,34825,2801
69217,2020,"Washington County,Maryland",126027,19847,522,3023,126,5041,145269,9317
69236,2021,"Washington County,Maryland",125389,20502,604,3121,131,5190,144869,10068
69274,2020,"Wicomico County,Maryland",68158,28328,435,3279,140,3133,97652,5821
69293,2021,"Wicomico County,Maryland",68071,28710,464,3327,157,3251,97962,6018
69331,2020,"Worcester County,Maryland",43648,6711,215,819,22,1030,50342,2103
69350,2021,"Worcester County,Maryland",44298,6652,217,858,23,1084,51062,2070
69388,2020,"Baltimore city,Maryland",186031,364299,2698,16056,603,13445,549404,33728
69407,2021,"Baltimore city,Maryland",183656,359700,2758,16138,593,13653,541688,34810
