,fip-year,WA,BA,IA,AA,NA,TOM,NH,H
443,2220-2020,5532,71,1335,656,31,803,7816,612
444,2220-2021,5519,79,1325,659,31,794,7771,636
447,2230-2019,1025,16,62,27,3,60,1116,77
448,2230-2020,1059,17,65,34,4,60,1164,75
449,2230-2021,953,18,65,33,4,59,1056,76
452,2240-2019,5271,136,838,174,69,391,6382,497
453,2240-2020,5248,138,825,168,72,380,6324,507
454,2240-2021,5355,149,818,181,71,396,6465,505
457,2275-2019,1720,15,425,79,1,273,2439,74
458,2275-2020,1436,15,345,72,1,261,2057,73
459,2275-2021,1366,14,336,71,1,267,1982,73
462,2282-2019,198,12,227,41,7,91,549,27
463,2282-2020,250,14,265,45,7,102,649,34
464,2282-2021,263,14,266,51,7,103,658,46
467,2290-2019,1222,49,3619,28,9,327,5110,144
468,2290-2020,1200,52,3695,32,9,312,5148,152
469,2290-2021,1192,57,3651,31,9,335,5117,158
472,4001-2019,16076,407,53879,316,37,1205,66906,5014
473,4001-2020,14481,361,49582,285,50,1138,61385,4512
