,PCIncome,fip-year,fips,POPESTIMATE,MFratio,POPEST_MALE,POPEST_FEM,MEDIAN_AGE_TOT,UNDER5_TOT,AGE513_TOT,AGE1544_TOT,AGE4564_TOT,AGE65PLUS_TOT,RUCC_2013,WA,BA,IA,AA,NA,TOM,NH,H
137,27823,1091-2021,1091,18996,0.890901851,8950,10046,42.1,1088,2159,6614,5010,3860,7,8826,9811,50,71,34,204,18435,561
138,21311,1093-2019,1093,29826,0.979295242,14757,15069,44.3,1584,3103,10118,8256,6401,7,28009,1193,123,93,22,386,29070,756
139,22486,1093-2020,1093,29287,0.997612714,14626,14661,44,1555,3108,9909,8192,6162,7,27465,1166,141,94,22,399,28527,760
140,23093,1093-2021,1093,29246,1.002876318,14644,14602,43.8,1586,3072,9983,8058,6172,7,27307,1277,143,99,23,397,28462,784
141,24453,1095-2019,1095,96751,0.971010655,47664,49087,38.9,6918,11929,34922,24811,16773,4,89842,2992,1035,737,319,1826,82761,13990
142,25861,1095-2020,1095,97608,0.981566446,48350,49258,38.8,6901,12232,35191,25220,16604,4,90486,3035,1091,774,346,1876,82867,14741
143,27333,1095-2021,1095,98228,0.979405542,48603,49625,38.6,6971,12268,35654,24937,16894,4,90961,3081,1164,762,379,1881,82903,15325
144,25861,1097-2019,1097,413516,0.907256056,196704,216812,38.1,27161,47965,160235,104040,68951,2,243630,150235,3807,8680,172,6992,401384,12132
145,26778,1097-2020,1097,414250,0.91583728,198026,216224,38.1,26832,48794,160057,104041,69004,2,243422,150911,3891,8707,178,7141,401727,12523
146,27942,1097-2021,1097,413073,0.913181016,197164,215909,38.3,26272,48225,160010,102520,70330,2,241735,151087,3908,8760,175,7408,400273,12800
147,20527,1099-2019,1099,20689,0.907171829,9841,10848,44,1048,2202,7032,5770,4346,7,11464,8496,257,95,8,369,20336,353
148,21885,1099-2020,1099,19723,0.916901545,9434,10289,44.1,984,2099,6701,5503,4171,7,10856,8130,264,90,8,375,19396,327
149,21648,1099-2021,1099,19648,0.918937396,9409,10239,44.2,1011,2050,6673,5382,4273,7,10809,8112,268,92,8,359,19318,330
150,29071,1101-2019,1101,226074,0.887615119,106307,119767,36.9,15378,26401,91193,55198,35152,2,80116,134204,727,7554,205,3268,217889,8185
151,29543,1101-2020,1101,228448,0.896778479,108008,120440,36.9,15325,27196,91656,55700,35617,2,79399,136991,709,7705,210,3434,219875,8573
152,30100,1101-2021,1101,227434,0.893799857,107340,120094,37,15209,26940,91269,54635,36348,2,77499,137728,715,7769,193,3530,218639,8795
153,27367,1103-2019,1103,119630,0.966531323,58797,60833,40.8,7242,13764,43230,32388,21408,3,99077,15606,1295,824,193,2635,109352,10278
154,28474,1103-2020,1103,123336,0.978250409,60990,62346,40.8,7391,14406,44590,33356,21925,3,101958,16203,1353,833,184,2805,112471,10865
155,30412,1103-2021,1103,123668,0.976948286,61113,62555,40.8,7388,14416,44915,32906,22348,3,101855,16435,1375,855,186,2962,112577,11091
156,15055,1105-2019,1105,8940,0.871075764,4162,4778,39.2,496,916,3487,2148,1795,8,2720,6056,31,53,6,74,8797,143
157,13833,1105-2020,1105,8452,0.878222222,3952,4500,39.7,455,879,3263,2039,1718,8,2584,5695,33,52,6,82,8309,143
158,15484,1105-2021,1105,8355,0.86787391,3882,4473,39.9,454,858,3222,2003,1718,8,2522,5667,32,51,7,76,8222,133
159,23024,1107-2019,1107,19940,1.007854194,10009,9931,41.9,1037,1892,7432,5470,3889,3,11560,7975,52,66,68,219,18904,1036
160,23476,1107-2020,1107,19062,1.010971621,9583,9479,41.8,1002,1833,7110,5235,3678,3,11018,7642,55,69,66,212,18038,1024
161,23896,1107-2021,1107,18801,1.009083137,9443,9358,41.9,957,1811,7051,5115,3661,3,10853,7534,55,70,68,221,17761,1040
162,22453,1109-2019,1109,33034,0.926180758,15884,17150,31.8,1772,3135,15583,7096,5091,6,18987,12522,225,653,27,620,32238,796
163,23784,1109-2020,1109,32981,0.926122759,15858,17123,31.8,1743,3215,15485,7088,5095,6,18917,12587,230,608,28,611,32186,795
164,24960,1109-2021,1109,32991,0.921208945,15819,17172,32.1,1740,3195,15461,6994,5234,6,18856,12661,233,574,27,640,32185,806
165,24721,1111-2019,1111,22781,0.94659489,11078,11703,44.1,1274,2422,7611,6387,4800,6,17785,4363,111,109,26,387,22102,679
166,24744,1111-2020,1111,21971,0.953151391,10722,11249,44.3,1191,2381,7310,6236,4574,6,17193,4162,111,102,22,381,21319,652
167,26926,1111-2021,1111,21989,0.945929204,10689,11300,44.5,1175,2363,7298,6193,4674,6,17209,4144,116,114,23,383,21341,648
168,23470,1113-2019,1113,58098,0.919770016,27835,30263,37.1,4004,7072,22919,14819,8510,2,28939,26490,414,507,157,1591,54703,3395
169,24300,1113-2020,1113,59226,0.921986046,28411,30815,37.1,4007,7297,23320,15110,8717,2,29369,27173,390,517,155,1622,55736,3490
170,24871,1113-2021,1113,58722,0.911834608,28007,30715,37.3,3920,7283,22954,14868,8889,2,28816,27229,388,473,169,1647,55250,3472
171,26409,1115-2019,1115,89735,0.97859017,44382,45353,40.5,5167,10398,33122,24538,15302,1,78499,8602,350,843,70,1371,87552,2183
172,27941,1115-2020,1115,91333,0.988829127,45410,45923,40.6,5121,10644,33689,25016,15621,1,79587,9022,377,854,74,1419,89031,2302
173,29803,1115-2021,1115,92748,0.986549006,46060,46688,40.7,5137,10677,34401,25073,16163,1,80389,9607,363,834,84,1471,90328,2420
174,38549,1117-2019,1117,218176,0.933070482,105311,112865,39.8,12166,25844,83517,58787,34821,1,179985,29011,874,5061,124,3121,205676,12500
175,39711,1117-2020,1117,223708,0.945946886,108747,114961,40,11983,26781,85464,60438,35780,1,183551,30654,892,5232,117,3262,210536,13172
176,42106,1117-2021,1117,226902,0.944252125,110198,116704,40.2,11807,26662,86893,60781,37385,1,184994,31975,924,5420,123,3466,213349,13553
177,16799,1119-2019,1119,12358,0.841454329,5647,6711,36.9,718,1142,5048,2960,2369,8,3188,8830,21,205,4,110,12206,152
178,16977,1119-2020,1119,12295,0.854449472,5665,6630,36.9,695,1173,5001,2910,2386,8,3205,8737,23,205,4,121,12132,163
179,17481,1119-2021,1119,12164,0.854833791,5606,6558,36.7,669,1192,4932,2817,2415,8,3182,8625,20,209,4,124,11988,176
180,23305,1121-2019,1121,80226,0.929947798,38657,41569,41.3,4300,8422,29784,21952,14770,4,51350,26599,334,493,20,1430,78252,1974
181,24244,1121-2020,1121,82069,0.941818096,39805,42264,41.4,4389,8637,30401,22459,15121,4,52530,27233,318,469,17,1502,80016,2053
182,24997,1121-2021,1121,81524,0.942111156,39547,41977,41.6,4264,8430,30228,22069,15435,4,52124,27047,329,471,19,1534,79416,2108
183,25217,1123-2019,1123,40337,0.941892933,19565,20772,45.5,2151,4268,13064,11433,8979,6,28411,10929,172,243,24,558,39341,996
184,25640,1123-2020,1123,41229,0.954073653,20130,21099,45.6,2106,4456,13303,11680,9194,6,29037,11159,179,242,22,590,40195,1034
185,27110,1123-2021,1123,41023,0.950040405,19986,21037,45.8,2016,4367,13300,11497,9339,6,28961,11038,173,234,20,597,39953,1070
186,26789,1125-2019,1125,210321,0.926792847,101165,109156,33.5,12435,22083,97352,47298,28836,3,134753,68458,733,3495,137,2745,202059,8262
187,27609,1125-2020,1125,227153,0.933924755,109696,117457,33.8,13159,24417,104203,51365,31355,3,144897,74463,772,3839,144,3038,217945,9208
