,fip-year,POPESTIMATE,MFratio,POPEST_MALE,POPEST_FEM,MEDIAN_AGE_TOT,UNDER5_TOT,AGE513_TOT,AGE1544_TOT,AGE4564_TOT,AGE65PLUS_TOT
1859,12107-2021,74167,0.9847730678655534,36799,37368,45.0,4075,8104,23910,19519,17581
1862,12109-2019,265068,0.9499613786000662,129133,135935,44.0,12928,30186,89238,74436,54616
1863,12109-2020,276916,0.963358432240042,135874,141042,44.0,13205,31928,93077,78057,56721
1864,12109-2021,292466,0.964955892529612,143625,148841,44.0,13518,33616,98991,82119,60090
1867,12111-2019,328063,0.9521633313696436,160012,168051,45.7,16431,32788,108416,85917,80627
1868,12111-2020,331275,0.9659070678298024,162765,168510,45.6,16261,33488,109673,86936,80933
1869,12111-2021,343579,0.9658473228283384,168805,174774,45.4,16820,34346,115051,89090,83980
1872,12113-2019,184587,1.039635359116022,94087,90500,39.8,10265,20564,70960,50421,29939
1873,12113-2020,189133,1.0507557521740074,96907,92226,39.9,10364,21445,72613,51576,30554
1874,12113-2021,193998,1.0527151140644178,99490,94508,40.0,10304,21804,75117,52301,31824
1877,12115-2019,435006,0.9106026001405482,207326,227680,57.1,15124,30819,108811,113898,162658
1878,12115-2020,435664,0.9224258898076974,209042,226622,57.1,14714,31354,109110,115063,161550
1879,12115-2021,447057,0.923123580425356,214593,232464,57.3,14771,31802,113001,117120,166393
1882,12117-2019,471791,0.9367367129034774,228190,243601,39.4,24617,50107,191261,124724,75179
1883,12117-2020,471058,0.9482837774680392,229277,241781,39.5,24014,50657,190841,124477,74933
1884,12117-2021,470093,0.9487739662141156,228868,241225,39.8,23435,49997,190125,123325,77037
1887,12119-2019,133772,0.9847772222139796,66373,67399,68.2,2537,4766,21047,26617,78257
1888,12119-2020,130897,0.9958070319885342,65311,65586,68.2,2333,4806,20592,26373,76244
1889,12119-2021,135638,0.9944125042273816,67629,68009,68.3,2366,4964,21512,27344,78902
1892,12121-2019,44420,1.0539140888703935,22793,21627,43.2,2376,4799,15303,11784,9618
1893,12121-2020,43510,1.0668851836017292,22459,21051,43.0,2281,4781,15065,11464,9360
1894,12121-2021,44485,1.0668587092877386,22962,21523,42.8,2348,4836,15519,11492,9683
1897,12123-2019,21537,1.1907232224595667,11706,9831,42.0,1181,2206,7920,5532,4489
1898,12123-2020,21760,1.2129563714024203,11927,9833,42.0,1141,2265,7967,5628,4510
1899,12123-2021,21815,1.2210344125432702,11993,9822,42.1,1119,2230,8020,5602,4584
1902,12125-2019,15213,1.8261192643507336,9830,5383,39.6,804,1553,6132,4264,2288
1903,12125-2020,16126,1.8466019417475728,10461,5665,39.5,862,1671,6493,4486,2412
1904,12125-2021,16335,1.85227867993714,10608,5727,39.2,856,1701,6670,4457,2436
1907,12127-2019,554065,0.9524661970490914,270288,283777,47.1,25807,49200,184571,151360,137658
1908,12127-2020,554901,0.9618901145523971,272061,282840,47.1,25307,49886,184430,152138,137379
1909,12127-2021,564412,0.960812378841464,276566,287846,47.0,25263,50470,188847,152489,141305
1912,12129-2019,33636,1.1820304897826792,18221,15415,40.8,1751,3491,13010,9631,5294
1913,12129-2020,33907,1.1826198905696814,18372,15535,41.1,1697,3555,13070,9753,5378
1914,12129-2021,34690,1.1824473104749922,18795,15895,41.0,1732,3629,13463,9828,5586
1917,12131-2019,74127,1.0163479585452766,37364,36763,44.2,4181,7696,24968,21503,14900
1918,12131-2020,75855,1.0246356696738377,38389,37466,44.3,4191,7994,25464,22049,15259
1919,12131-2021,80069,1.0201589504226063,40434,39635,44.0,4305,8509,27222,23021,16096
1922,12133-2019,25647,1.174949118046133,13855,11792,41.0,1339,2561,9910,7025,4506
1923,12133-2020,25357,1.187079523891668,13763,11594,40.9,1296,2573,9823,6948,4402
1924,12133-2021,25436,1.1929476679024054,13837,11599,41.1,1295,2514,9892,6947,4466
1927,13001-2019,18389,0.9953342013888888,9173,9216,39.6,1176,2369,6600,4718,3252
1928,13001-2020,18428,1.0071887593944016,9247,9181,39.8,1168,2344,6594,4741,3310
1929,13001-2021,18488,1.0039020160416214,9262,9226,39.7,1148,2344,6651,4642,3431
1932,13003-2019,8269,1.0397138628515046,4215,4054,36.3,576,1070,3268,2075,1159
1933,13003-2020,8301,1.0440778133464663,4240,4061,36.0,584,1081,3279,2104,1124
1934,13003-2021,8391,1.0322111891499153,4262,4129,36.1,580,1075,3328,2123,1160
1937,13005-2019,11098,0.9573192239858906,5428,5670,38.4,754,1429,4206,2703,1851
1938,13005-2020,11123,0.9627668960649374,5456,5667,38.6,754,1425,4165,2716,1894
1939,13005-2021,11079,0.9546577275935074,5411,5668,38.5,740,1403,4148,2712,1905
1942,13007-2019,3047,0.9837239583333334,1511,1536,47.6,175,279,943,886,731
1943,13007-2020,2844,1.0,1422,1422,47.3,156,267,896,802,690
1944,13007-2021,2819,1.003553660270078,1412,1407,47.4,134,278,899,775,702
1947,13009-2019,45006,1.0286680189317106,22821,22185,36.1,2113,4268,19753,10892,7476
1948,13009-2020,43773,1.037090469099032,22285,21488,36.3,1952,4201,19289,10527,7299
1949,13009-2021,43781,1.0387910962093694,22307,21474,36.5,1963,4101,19386,10371,7468
1952,13011-2019,19175,1.0351305455317343,9753,9422,41.6,1097,2098,7002,5319,3405
1953,13011-2020,18069,1.051663449528784,9262,8807,41.8,984,1948,6581,5073,3235
1954,13011-2021,18562,1.050823113468125,9511,9051,41.8,1019,1950,6822,5151,3376
1957,13013-2019,83581,0.9655018342583012,41057,42524,35.9,5560,11070,34569,20535,10614
1958,13013-2020,83963,0.9733248724999412,41414,42549,36.1,5406,11155,34751,20709,10644
1959,13013-2021,86658,0.9723689002184996,42722,43936,36.2,5432,11314,36103,21278,11128
1962,13015-2019,107757,0.9749459330669696,53195,54562,38.2,6724,12828,41962,29311,15426
1963,13015-2020,109311,0.9837216898954704,54207,55104,38.3,6628,13109,42533,29831,15642
1964,13015-2021,110843,0.981356023094936,54900,55943,38.3,6604,13122,43375,29934,16234
1967,13017-2019,16711,0.8884619731043055,7862,8849,39.4,1081,2133,5966,4338,2961
1968,13017-2020,17153,0.8951497072146725,8102,9051,39.6,1070,2187,6144,4435,3051
